"IZDELKI IN STORITVE","Povpreèna drobnoprodajna cena (EUR) 2018","Povpreèna drobnoprodajna cena (EUR) 2019","Povpreèna drobnoprodajna cena (EUR) 2020","Povpreèna drobnoprodajna cena (EUR) 2021","Povpreèna drobnoprodajna cena (EUR) 2022","Povpreèna drobnoprodajna cena (EUR) 2023","Povpreèna drobnoprodajna cena (EUR) 2024"
"...Riž, beli (kg)",2.07,2.02,2.05,2.13,2.32,2.68,2.59
"...Moka, pšenièna, razen polnozrnata (kg)",0.66,0.66,0.72,0.74,0.92,0.91,0.87
"...Kruh (bel, polbel, èrn) (kg)",2.13,2.27,2.42,2.37,2.87,3.30,3.42
"...Testenine (kg)",2.58,2.34,2.49,2.62,3.10,3.34,3.27
"...Kosmièi za zajtrk (kg)",5.00,5.18,5.19,5.06,5.70,6.29,6.61
"...Meso, goveje brez kosti (kg)",7.30,7.95,8.50,9.20,9.59,10.10,10.75
"...Meso, goveje s kostjo (kg)",5.25,5.56,6.27,6.58,7.46,8.55,9.82
"...Meso, svinjsko s kostjo (kg)",4.62,4.80,5.82,5.22,5.44,5.27,4.96
"...Meso, pišèanèje brez kosti (kg)",7.27,7.47,7.92,7.98,8.62,8.55,8.27
"...Meso, mleto mešano (kg)",5.05,5.39,6.62,6.46,7.05,7.33,6.80
"...Mleko, trajno, polnomastno (l)",0.74,0.74,0.77,0.76,1.00,1.16,1.12
"...Jogurt (kg)",2.12,2.27,2.25,2.36,2.57,2.75,2.72
"...Sir (kg)",7.57,7.97,8.36,8.72,11.12,10.54,10.41
"...Skuta (kg)",3.81,3.88,3.94,4.04,4.45,5.07,5.04
"...Jajca (10 kosov)",1.67,1.64,1.80,2.02,2.09,2.39,2.38
"...Maslo (kg)",8.11,8.38,8.44,8.44,10.05,10.10,10.02
"...Olje, olivno (l)",7.76,7.29,7.34,7.66,7.75,9.21,13.82
"...Olje, jedilno (l)",1.40,1.35,1.39,1.67,2.60,2.04,1.55
"...Limone (kg)",2.07,1.79,2.03,1.77,1.85,1.88,1.89
"...Pomaranèe (kg)",1.24,1.12,1.40,1.33,1.46,1.52,1.50
"...Jabolka (kg)",1.35,1.13,1.53,1.43,1.51,1.45,1.49
"...Banane (kg)",1.20,1.17,1.15,1.17,1.32,1.36,1.27
"...Breskve (kg)",1.84,1.64,1.82,1.94,2.15,2.43,2.33
"...Jagode (kg)",4.63,4.55,5.81,5.81,5.73,6.90,7.49
"...Cvetaèa (kg)",1.15,2.45,2.50,2.83,2.61,2.86,3.06
"...Paradižnik, sveži (kg)",2.86,3.30,3.11,3.93,4.65,4.03,4.44
"...Èebula (kg)",1.35,1.58,1.30,1.25,1.48,1.50,1.48
"...Korenje (kg)",1.08,1.14,1.06,1.15,1.10,1.40,1.27
"...Èesen (kg)",7.72,7.50,7.85,8.03,7.40,7.38,7.66
"...Zelje in repa, kisla (kg)",1.70,1.80,1.82,1.81,1.93,2.17,2.23
"...Krompir (kg)",0.77,0.95,0.77,0.77,0.94,1.03,1.04
"...Sladkor, beli (kg)",0.83,0.82,0.86,0.86,1.19,1.49,1.45
"...Med, cvetlièni (kg)",7.90,7.95,8.10,8.41,9.25,9.42,9.24
"...Džem (kg)",5.60,5.48,6.17,6.03,6.70,7.65,7.71
"...Èokolada (kg)",9.46,9.00,9.37,9.26,9.40,10.43,11.81
"...Sladoled (l)",3.19,3.31,3.50,3.73,4.02,4.29,4.07
"...Kis (l)",1.45,1.35,1.45,1.62,1.71,2.01,2.04
"...Sol, kuhinjska (kg)",0.69,0.72,0.80,0.71,0.80,1.15,1.52
"...Otroška hrana, za hitro pripravo (kg)",8.18,8.06,8.18,8.46,9.57,10.47,10.66
"...Kava, klasièna (kg)",9.24,9.08,9.00,9.17,10.37,11.49,12.19
"...Èaj (zavitek)",1.35,1.35,1.44,1.50,1.62,1.78,1.89
"...Mineralna voda, gazirana (l)",0.41,0.44,0.50,0.61,0.63,0.69,0.73
"...Mineralna voda, negazirana (l)",0.53,0.63,0.62,0.62,0.77,1.01,1.08
"...Brezalkoholna pijaèa, gazirana (l)",0.77,0.90,0.92,0.98,1.14,1.29,1.33
"...Sok (l)",1.37,1.40,1.43,1.46,1.52,1.69,1.85
"...Naravno žganje (l)",14.37,14.28,15.55,15.52,16.40,17.67,17.84
"...Vino, namizno (l)",1.98,2.04,2.05,1.87,2.19,2.23,2.22
"...Vino, kakovostno (l)",4.85,4.05,4.24,4.59,4.70,4.71,4.96
"...Pivo, lager (l)",1.77,1.75,1.76,1.83,1.93,2.10,2.24
