"ŽIVILA, PIJAÈE","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2012","2015","2018"
"Riž [kg]",3.8,3.9,3.7,3.5,3.1,3.0,3.0,3.0,2.9,2.5,2.4,2.6,2.3,2.3
"Kruh in drugi pekovski izdelki [kg]",64.1,60.7,56.8,52.8,50.0,46.1,42.3,39.0,38.6,37.9,38.6,34.2,27.5,26.9
"Testenine in kuskus [kg]",6.6,6.6,6.5,6.6,6.4,6.7,6.5,6.5,6.2,5.9,6.7,6.4,5.8,6.7
"Moka vseh vrst, kosmièi in zdrob [kg]",27.0,24.9,23.6,23.8,21.8,19.6,18.2,17.8,18.2,16.5,16.2,17.4,11.9,12.1
"Meso in mesni izdelki [kg]",62.5,58.8,55.7,52.8,52.5,52.2,52.2,51.7,51.2,48.7,48.5,47.7,43.2,42.9
"Ribe (sveže in zamrznjene) [kg]",2.0,2.0,2.1,2.0,1.9,1.8,1.6,1.4,1.4,1.4,1.6,1.5,1.7,1.1
"Jajca [kos]",145.7,136.5,126.0,112.7,109.2,102.2,97.7,93.7,100.2,100.7,101.6,87.7,80.2,80.3
"Mleko, polmastno in lahko [liter]",79.4,78.4,76.4,74.6,73.4,69.9,65.6,65.4,66.1,64.5,63.1,54.1,46.8,43.0
"Jedilno olje [liter]",14.1,14.2,13.5,12.3,11.6,11.2,10.7,10.4,10.3,9.8,9.2,10.5,8.9,7.4
"Sadje vseh vrst [kg]",68.4,68.8,70.0,70.2,70.9,70.1,66.8,66.0,68.5,69.6,70.9,72.0,63.8,59.4
"Zelenjava vseh vrst [kg]",107.7,100.8,94.8,95.7,98.7,99.9,93.9,89.9,92.7,92.8,94.5,84.4,79.1,78.6
"Sladkor [kg]",14.7,14.2,13.7,13.4,12.4,10.9,10.1,10.0,10.6,9.9,9.8,8.0,7.0,6.4
"Kava, prava in nadomestki [kg]",3.1,3.2,3.2,3.1,3.1,3.1,3.1,3.2,3.3,3.4,3.4,3.5,3.1,3.0
"Brezalkoholne pijaèe (gazirane pijaèe, ledeni èaj, energetski napitki,...) [liter]",30.9,29.3,29.4,29.1,31.9,35.6,38.5,39.3,37.6,35.9,36.7,29.4,23.4,24.0
"Sadni sokovi [liter]",28.2,31.1,33.5,33.0,30.4,26.2,23.0,21.3,21.5,22.4,22.4,21.6,13.2,16.5
"Žgane pijaèe (viski, liker, konjak, vodka, rum...) [liter]",0.6,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.9,0.9,1.0,0.9,1.1
"Vino [liter]",25.7,24.0,21.6,19.9,19.0,16.9,15.8,13.9,14.2,13.1,13.7,10.9,7.8,8.5
"Pivo (tudi brezalkoholno) [liter]",23.9,21.6,20.2,20.2,22.0,23.3,25.1,26.4,27.2,25.6,27.3,26.4,26.4,26.4
